;DBGG;PIB;JUROREAL;SPRIMARIO;CAMBIO;INFLACAO
dez/06;55,48;3,961988709;9,0795;3,15;2,1499;3,141516132
jan/07;56,16;4,011895893;9,089545455;3,49;2,1385;2,987813485
fev/07;56,89;4,028214281;9,026111111;3,5;2,0963;3,018564366
mar/07;57,24;4,191559181;8,982272727;3,41;2,0887;2,957038373
abr/07;57,17;4,748780118;8,9525;3,41;2,032;2,998180217
mai/07;57,92;4,897260998;8,992727273;3,45;1,9816;3,183180157
jun/07;58,23;5,258980372;8,5915;3,39;1,9319;3,689806129
jul/07;58,33;5,40326026;8,235;3,4;1,8828;3,741741881
ago/07;58,47;5,534140349;7,75826087;3,24;1,966;4,177371666
set/07;57,88;5,607692511;7,447894737;3,21;1,8996;4,146187727
out/07;57,46;5,819454675;7,435909091;3,24;1,801;4,115212062
nov/07;57,24;5,8906904;7,3815;3,34;1,7699;4,187799705
dez/07;56,72;6,069870607;6,9965;3,24;1,786;4,457658553
jan/08;57,51;6,133818442;6,763181818;3,39;1,7743;4,561479654
fev/08;57,05;6,43247061;6,855263158;3,43;1,7277;4,613512653
mar/08;57,09;6,299694121;6,8745;3,63;1,7076;4,728310951
abr/08;56,53;6,42887777;6,922380952;3,61;1,6889;5,041627425
mai/08;55,83;6,319763198;6,864;3,6;1,6605;5,576029422
jun/08;55,6;6,252056612;6,881428571;3,62;1,6189;6,060583356
jul/08;55,46;6,388531784;6,826956522;3,72;1,5914;6,367091588
ago/08;54,88;6,294189626;7,653809524;3,76;1,6123;6,165817949
set/08;54,83;6,53528943;8,265454545;3,85;1,7996;6,25053375
out/08;55,06;6,224461467;8,479130435;3,98;2,1729;6,409530261
nov/08;54,66;5,72683657;8,2085;3,69;2,2663;6,388596928
dez/08;55,98;5,094195448;8,509545455;3,33;2,3944;5,902724391
jan/09;56,86;4,34466307;8,512380952;2,89;2,3074;5,839344298
fev/09;57,15;3,304546478;7,968333333;2,74;2,3127;5,902537475
mar/09;57,47;2,968482338;7,367272727;2,56;2,3138;5,607122766
abr/09;56,79;2,093464861;6,9335;2,3;2,2059;5,533778283
mai/09;57,05;1,531751196;6,0155;2,09;2,0609;5,198622241
jun/09;58,34;0,826708448;5,468095238;1,87;1,9576;4,801565436
jul/09;59,73;-1,27E-02;4,906086957;1,6;1,9328;4,499395677
ago/09;60,8;-0,478615045;4,626666667;1,46;1,8452;4,363851682
set/09;60,8;-1,194575393;4,548095238;1,07;1,8198;4,343100767
out/09;61,05;-1,430325117;4,373333333;0,94;1,7384;4,16639125
nov/09;60,3;-1,022372139;4,313;1,33;1,7262;4,21834594
dez/09;59,21;-0,125812003;4,262272727;1,94;1,7503;4,311650063
jan/10;59,77;0,69455091;4,098;2,18;1,7798;4,592085979
fev/10;59,02;1,739451876;4,036111111;2,15;1,8416;4,831099691
mar/10;56,24;2,640484081;4,027826087;1,88;1,7858;5,16600252
abr/10;56,06;3,657635445;3,948;2,09;1,7566;5,260260379
mai/10;55,96;4,53762422;4,545714286;2,02;1,8132;5,21840309
jun/10;55,78;5,340891646;5,16047619;1,96;1,8065;4,841090627
jul/10;55,54;6,163933203;5,456363636;1,91;1,7696;4,600533921
ago/10;54,99;6,835045302;5,667272727;1,88;1,7596;4,485543932
set/10;54,89;7,468377205;5,497142857;2,75;1,7187;4,704219597
out/10;55,06;7,823768369;5,322;2,61;1,6835;5,195061102
nov/10;54,61;7,938799818;5,2515;2,37;1,7133;5,634847512
dez/10;51,77;7,528225818;5,145652174;2,62;1,6934;5,908688722
jan/11;52,39;7,41954876;5,31952381;2,63;1,6749;5,99298735
fev/11;52,36;7,291403341;5,5825;2,72;1,668;6,014171342
mar/11;52,62;6,538672418;6,135238095;3,03;1,6591;6,298987616
